type,token_or_ngram,frequency,phrase_count,as_head_count,as_modifier_count
token,syndrom,35,35,2,33
token,tři,35,35,18,17
token,zagreb,35,35,0,35
token,svátek,35,35,1,34
token,česko,34,34,7,27
token,vzor,34,34,4,30
token,hrad,34,34,3,31
token,jméno,34,34,4,30
token,kůň,34,34,10,24
token,maso,34,34,0,34
token,doba,34,34,1,33
token,pošta,33,33,14,19
token,kód,33,33,5,28
token,čez,33,33,13,20
token,děčín,33,33,7,26
token,kancelář,33,33,0,33
token,nitra,33,33,1,32
token,krém,33,33,0,33
token,tábor,33,33,3,30
token,pád,33,33,26,7
token,zastarale,33,33,0,33
token,leták,33,33,0,33
token,ski,33,33,3,30
token,is,33,33,14,19
token,vody,32,32,0,32
token,obec,32,32,11,21
token,centrum,32,32,8,24
token,můj,32,32,20,12
token,zboží,32,32,7,25
token,pravopis,32,32,3,29
token,měsíc,32,32,13,19
token,vlasy,32,32,0,32
token,ondřej,32,32,29,3
token,studijní,32,32,0,32
token,ně,31,31,16,15
token,ačr,31,31,17,14
token,klub,31,31,14,17
token,slovo,31,31,10,21
token,koně,31,31,3,28
token,oční,31,31,15,16
token,advokátní,31,31,3,28
token,mělník,31,31,3,28
token,ljubljana,31,31,2,29
token,základní,31,31,29,2
token,michal,31,31,23,8
token,hora,31,31,4,27
token,procvičování,30,30,17,13
token,noty,30,30,1,29
token,zdarma,30,30,0,30
token,rozměr,30,30,25,5
token,jaroslav,30,30,23,7
token,dálniční,30,30,11,19
token,letiště,30,30,4,26
token,miminko,30,30,2,28
token,hlavní,30,30,7,23
token,černý,30,30,12,18
token,koláč,30,30,3,27
token,mně,30,30,13,17
token,jindřichův,30,30,4,26
token,průkaz,30,30,3,27
token,palců,30,30,27,3
token,s.r.o.,30,30,0,30
token,příjmů,30,30,0,30
token,ae,30,30,19,11
token,la,29,24,8,20
token,světa,29,29,1,28
token,milan,29,29,16,13
token,hráči,29,29,0,29
token,kolín,29,28,7,22
token,vidět,29,29,5,24
token,já,29,29,2,27
token,stůl,29,29,11,18
token,fotbal,29,29,1,28
token,října,29,29,27,2
token,jsem,29,28,7,22
token,en,29,29,20,9
token,ti,29,29,1,28
token,zařízení,29,29,8,21
token,vánoční,29,29,12,17
token,přání,29,29,10,19
token,vozidla,29,27,0,29
token,auta,29,29,1,28
token,voda,29,29,0,29
token,of,29,27,3,26
token,nože,29,29,11,18
token,labem,29,29,0,29
token,žen,29,29,24,5
token,řeka,29,29,11,18
token,litoměřice,29,29,3,26
token,có,29,29,20,9
token,af,29,29,14,15
token,května,29,29,25,4
token,sázavou,28,28,0,28
token,před,28,28,0,28
token,meziříčí,28,28,0,28
token,red,28,28,6,22
token,live,28,28,9,19
token,vysavač,28,28,2,26
token,nové,28,28,3,25
token,velké,28,28,7,21
token,iž,28,28,28,0
token,písek,28,28,1,27
token,bmw,28,28,28,0
token,náměstí,28,28,4,24
token,lyrics,28,28,6,22
token,zuzana,28,28,23,5
token,žnl,28,28,28,0
token,sk,28,28,9,19
token,autoškola,28,28,5,23
token,černá,28,28,8,20
token,mp3,28,28,0,28
token,rožnov,28,28,8,20
token,oš,28,28,28,0
